date, end-date, money, type, msg
2017-04-08, 2018-04-08, -9900, 按月付息, 30天之后转让
2017-04-08, 2018-04-08, -9900, 按月付息, 30天之后转让
2017-04-08, 2018-04-08, -9900, 按月付息, 30天之后转让
2017-04-11, 2019-04-11, -9900, 按月付息, 30天之后转让
2017-04-20, 2019-04-20, -9900, 按月付息, 30天之后转让
2017-04-21, 2019-04-21, -9900, 按月付息, 30天之后转让
2017-04-24, 2019-04-24, -9900, 按月付息, 30天之后转让
2017-04-24, 2019-04-24, -9900, 按月付息, 30天之后转让
2017-04-24, N/A, -1000, 持有, 景顺长城沪深300指数增强
2017-04-25, 2019-04-25, -7524, 按月付息, 30天之后转让
2017-04-27, 2019-04-27, -9995, 按月付息, 30天之后到期
2017-04-28, 2019-04-28, -10000, 按月付息, 普点金融2017042801
2017-04-28, 2019-04-28, 9.9, 返息, 普点金融2017042801
2017-04-28, 2019-04-28, 8.33, 返息, 普点金融2017042801
2017-04-30, 2019-04-30, 88.5, 返息, 普点金融2017042801
2017-05-08, N/A, -2000, 持有, 景顺长城沪深300指数增强
2017-05-08, 2018-04-08, 98.63, 按月付息, 爱投资201704081
2017-05-08, 2018-04-08, 98.63, 按月付息, 爱投资201704081
2017-05-08, 2018-04-08, 98.63, 按月付息, 爱投资201704081
